DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2011,8.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2012,8.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2013,8.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2014,7.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2016,8.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2017,8.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BA,2018,8.4,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2010,11.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2011,11.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2012,11.5,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2013,11.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2014,11.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2015,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2016,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2017,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2018,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2019,10.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2020,9.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BE,2021,10.2,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2010,10.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2011,9.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2012,9.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2013,9.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2014,9.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2015,9.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2016,9.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2017,9.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2018,8.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2019,8.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2020,8.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BG,2021,8.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2010,11.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2011,11.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2012,12.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2014,12.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2015,12.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2016,12.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2017,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2018,9.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,BY,2019,9.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2010,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2011,10.2,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2012,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2013,10.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2014,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2015,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2016,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2017,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2018,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2019,10.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2020,9.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CH,2021,10.3,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2010,11.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2011,11.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2012,11.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2013,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2014,10.9,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2015,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2016,11.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2017,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2018,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2019,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2020,11.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CY,2021,11.3,p
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2010,11.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2011,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2012,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2013,10.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2014,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2015,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2016,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2017,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2018,10.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2019,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2020,10.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,CZ,2021,10.6,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2010,8.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2011,8.3,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2012,8.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2013,8.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2014,8.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2015,9.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2016,9.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2017,9.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2018,9.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2019,9.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2020,9.3,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DE,2021,9.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2010,11.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2011,10.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2012,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2013,10.0,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2014,10.1,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2015,10.2,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2016,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2017,10.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2018,10.6,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2019,10.5,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2020,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,DK,2021,10.8,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2010,10.4,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2011,10.1,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2012,10.0,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2013,9.7,
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2014,9.8,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2015,9.7,b
ESTAT:TPS00204(1.0),11/07/22 11:00:00,A,GBIRTHRT_THSP,EA18,2016,9.7,
