"Table 102.30. Median household income, by state: Selected years, 1990 through 2017",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
[In constant 2017 dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan .....................,59400,65900,57900.0,340.0,51200.0,210.0,50900.0,240.0,51700.0,240.0,52900.0,150.0,53600.0,250.0,54900.0,270.0,,,,,,,,,,,,,,,
Minnesota ...................,59200,69500,65500.0,280.0,62500.0,310.0,64000.0,280.0,63700.0,300.0,65700.0,420.0,67000.0,380.0,68400.0,400.0,,,,,,,,,,,,,,,
Mississippi .................,38500,46200,41400.0,470.0,41500.0,430.0,40000.0,660.0,41100.0,490.0,42000.0,340.0,42700.0,350.0,43500.0,520.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri ......................,50500,56000,52800.0,280.0,49900.0,350.0,49500.0,270.0,50100.0,360.0,52000.0,260.0,52900.0,230.0,53700.0,380.0,,,,,,,,,,,,,,,
Montana .....................,44000,48700,49500.0,740.0,48100.0,770.0,49500.0,730.0,48000.0,770.0,51200.0,890.0,51100.0,680.0,53400.0,870.0,,,,,,,,,,,,,,,
Nebraska ....................,49800,57900,55200.0,580.0,54500.0,620.0,54200.0,320.0,54600.0,430.0,56900.0,520.0,58200.0,480.0,60000.0,620.0,,,,,,,,,,,,,,,
Nevada .......................,59400,65800,61900.0,680.0,57500.0,540.0,54000.0,380.0,53300.0,430.0,54200.0,620.0,56400.0,560.0,58000.0,580.0,,,,,,,,,,,,,,,
New Hampshire ...............,69500,73000,71400.0,760.0,68800.0,790.0,67700.0,860.0,69000.0,820.0,72700.0,790.0,72500.0,880.0,73400.0,1030.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey .................,78300,81400,77600.0,400.0,76300.0,520.0,74000.0,350.0,74500.0,280.0,74700.0,380.0,77800.0,440.0,80100.0,410.0,,,,,,,,,,,,,,,
New Mexico .................,46100,50400,47200.0,570.0,47400.0,500.0,46200.0,610.0,46400.0,530.0,47000.0,550.0,47800.0,510.0,46700.0,730.0,,,,,,,,,,,,,,,
New York .....................,63100,64000,62300.0,320.0,61000.0,260.0,60500.0,280.0,61000.0,250.0,63000.0,190.0,64300.0,390.0,64900.0,310.0,,,,,,,,,,,,,,,
North Carolina .............,51000,57800,51200.0,250.0,48800.0,250.0,48400.0,270.0,48300.0,240.0,49500.0,330.0,51700.0,180.0,52800.0,310.0,,,,,,,,,,,,,,,
North Dakota ................,44400,51100,51600.0,540.0,54800.0,1080.0,58800.0,930.0,61200.0,1060.0,62700.0,1040.0,62000.0,950.0,61800.0,640.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio ..........................,54900,60400,54700.0,260.0,50800.0,200.0,50700.0,260.0,51100.0,230.0,52800.0,150.0,53500.0,170.0,54000.0,250.0,,,,,,,,,,,,,,,
Oklahoma ....................,45100,49300,46600.0,430.0,47400.0,280.0,48200.0,340.0,49300.0,290.0,50300.0,320.0,50200.0,390.0,50100.0,350.0,,,,,,,,,,,,,,,
Oregon .......................,52200,60400,54000.0,450.0,52500.0,370.0,53000.0,340.0,52900.0,310.0,56000.0,570.0,58800.0,530.0,60200.0,480.0,,,,,,,,,,,,,,,
Pennsylvania ...............,55600,59200,56000.0,300.0,55500.0,300.0,54800.0,160.0,55200.0,260.0,57600.0,240.0,58100.0,220.0,59200.0,270.0,,,,,,,,,,,,,,,
Rhode Island ..............,61600,62100,64700.0,1050.0,58900.0,850.0,58900.0,1220.0,56900.0,940.0,60100.0,1520.0,61900.0,990.0,63900.0,1130.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina .............,50300,54700,49500.0,470.0,47300.0,290.0,46500.0,420.0,46900.0,320.0,48900.0,340.0,50600.0,370.0,50600.0,320.0,,,,,,,,,,,,,,,
South Dakota .............,43100,52100,50700.0,680.0,51700.0,830.0,51600.0,700.0,52800.0,650.0,54900.0,690.0,55600.0,800.0,56500.0,800.0,,,,,,,,,,,,,,,
Tennessee .................,47500,53700,48900.0,370.0,46700.0,280.0,46700.0,320.0,46000.0,350.0,48900.0,310.0,49600.0,420.0,51300.0,250.0,,,,,,,,,,,,,,,
Texas ........................,51700,58900,53000.0,190.0,54800.0,240.0,54500.0,150.0,55000.0,240.0,57600.0,200.0,57800.0,190.0,59200.0,300.0,,,,,,,,,,,,,,,
Utah ..........................,56400,67500,60300.0,720.0,61700.0,430.0,63000.0,490.0,63100.0,410.0,65100.0,770.0,67400.0,590.0,68400.0,750.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont ....................,57000,60300,57500.0,910.0,55700.0,1020.0,55400.0,1000.0,56100.0,1090.0,59000.0,830.0,58900.0,1040.0,57500.0,1270.0,,,,,,,,,,,,,,,
Virginia ......................,63800,68900,68200.0,410.0,68400.0,310.0,66100.0,430.0,67300.0,390.0,68600.0,340.0,69600.0,460.0,71500.0,330.0,,,,,,,,,,,,,,,
Washington ...............,59700,67600,62000.0,490.0,62700.0,380.0,61600.0,430.0,63600.0,310.0,66400.0,500.0,68500.0,370.0,71000.0,350.0,,,,,,,,,,,,,,,
West Virginia ...............,39800,43800,42100.0,610.0,43100.0,610.0,43500.0,480.0,42600.0,410.0,43500.0,500.0,44300.0,690.0,43500.0,850.0,,,,,,,,,,,,,,,
Wisconsin ..................,56400,64600,59300.0,300.0,55200.0,340.0,54200.0,240.0,54500.0,270.0,57600.0,270.0,58000.0,340.0,59300.0,360.0,,,,,,,,,,,,,,,
Wyoming ..................,51900,55900,58100.0,1160.0,60300.0,1300.0,61900.0,1150.0,59100.0,1250.0,62300.0,1000.0,61200.0,1370.0,60400.0,1070.0,,,,,,,,,,,,,,,
\1\Based on 1989 incomes collected in the 1990 census. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2\Based on 1999 incomes collected in the 2000 census. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Constant dollars adjusted by the Consumer Price Index research series using current methods (CPI-U-RS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Commerce, Census Bureau, 1990 Summary Tape File 3 (STF 3), ""Median Household Income in 1989,"" retrieved May 12, 2005, from https://www.census.gov/hhes/www/income/data/historical/state/state1.html; Decennial Census, 2000, Summary Social, Economic, and Housing Characteristics; Census 2000 Summary File 4 (SF 4), retrieved March 28, 2005, from https://www.census.gov/census2000/SF4.html; and American Community Survey (ACS), selected years, 2005 through 2017, retrieved May 3, 2019, from https://factfinder.census.gov/faces/nav/jsf/pages/searchresults.xhtml?refresh=t. (This table was prepared May 2019.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
