DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,HU,2018,811.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IE,2009,922.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IE,2012,1015.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IE,2015,961.3,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IE,2018,972.7,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IT,2009,439.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IT,2012,458.7,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IT,2015,471.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,IT,2018,484.3,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LT,2009,898.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LT,2012,803.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LT,2015,1053.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LT,2018,1090.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LU,2009,542.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LU,2012,628.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LU,2015,511.7,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LU,2018,565.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LV,2009,970.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LV,2012,1126.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LV,2015,1297.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,LV,2018,1276.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,MT,2012,222.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,MT,2015,190.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,MT,2018,201.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,NL,2009,431.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,NL,2012,456.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,NL,2015,471.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,NL,2018,456.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PL,2009,531.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PL,2012,593.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PL,2015,623.9,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PL,2018,633.7,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PT,2009,588,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PT,2012,601.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PT,2015,621.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,PT,2018,689.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,RO,2012,355.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,RO,2015,364.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,RO,2018,528.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SE,2009,1718,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SE,2012,2084.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SE,2015,2343.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SE,2018,2223.0,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SI,2009,579.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SI,2012,570.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SI,2015,609.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SI,2018,625.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SK,2009,538.3,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SK,2012,515.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SK,2015,536.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,SK,2018,631.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,UK,2009,441.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,UK,2012,430.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,UK,2015,430.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,UK,2018,426.9,
